policyholder_id,first_name,last_name,date_of_birth,gender,city,province,driving_license_year
PH-DAD17D02,Lando,Opizzi,1971-05-27,M,Milano,MI,1990
PH-6F4BAB3B,Priscilla,Ferrabosco,1977-10-28,F,Padova,PD,1998
PH-B94F13A6,Vanessa,Bonanno,1993-09-08,F,Brescia,BS,2016
PH-CE2C64D8,Antonino,Gentilini,1961-09-06,M,Salerno,SA,1984
PH-1C162570,Jacopo,Bottaro,1981-06-24,M,Bari,BA,2001
PH-83A7033C,Fernanda,Callegaro,1987-04-18,F,Brescia,BS,2010
PH-55813FED,Liliana,Lettiere,1985-10-12,F,Verona,VR,2004
PH-328DA25F,Rodolfo,Ossani,1964-08-05,M,Firenze,FI,1985
PH-166442E2,Ettore,Paganini,1993-04-26,M,Bari,BA,2013
PH-B25B8F8F,Lara,Foscari,1985-04-01,F,Torino,TO,2010
PH-B1D611E2,Susanna,Interiano,1977-01-03,F,Firenze,FI,2004
PH-5920E871,Benedetto,Donini,1976-02-17,M,Firenze,FI,2005
PH-29E241D5,Vittorio,Gotti,2001-07-15,M,Roma,RM,2020
PH-F1719B18,Ettore,Scamarcio,1972-01-26,M,Milano,MI,1999
PH-A31AE4EE,Nino,Jilani,1970-08-19,M,Genova,GE,1989
PH-F5D8B4DC,Giancarlo,Mocenigo,1990-12-22,M,Verona,VR,2016
PH-8D22AA5B,Arsenio,Giacconi,2002-03-02,M,Trieste,TS,2020
PH-34B1AFC7,Amanda,Mennea,1970-06-23,F,Torino,TO,1997
PH-6490C36D,Pasquale,Interminelli,1986-08-15,M,Lecce,LE,2007
PH-66091482,Baccio,Franceschi,1963-07-02,M,Ravenna,RA,1982
PH-2EF2F55F,Luchino,Frescobaldi,1962-02-21,M,Monza,MB,1990
PH-8CFCE445,Sophia,Tarchetti,1960-06-09,F,Salerno,SA,1984
PH-4EDC3BF9,Livia,Sauli,1975-11-03,F,Verona,VR,1997
PH-3AB0E54D,Clelia,Iannuzzi,1955-12-07,F,Roma,RM,1984
PH-3CED7228,Elladio,Gradenigo,1998-09-06,M,Cagliari,CA,2017
PH-7E7285EA,Patrizia,Vasari,1957-04-09,F,Messina,ME,1977
PH-13B9453B,Gelsomina,Renzi,1979-06-05,F,Sassari,SS,2003
PH-4D08739A,Pasqual,Orengo,1968-01-19,M,Roma,RM,1987
PH-0943648F,Giancarlo,Cicilia,2000-10-17,M,Palermo,PA,2022
PH-D388E37B,Torquato,Taccola,1956-02-21,M,Parma,PR,1982
PH-90879047,Carlo,Bellini,1982-01-12,M,Milano,MI,2011
PH-F22D97DE,Costantino,Correr,1979-04-27,M,Firenze,FI,2004
PH-C8C5940B,Ermes,Querini,1979-08-16,M,Trieste,TS,1997
PH-7FE57ECE,Roberta,Boccaccio,1990-09-12,F,Milano,MI,2009
PH-6D160EAC,Lilla,Paruta,1963-09-23,F,Bari,BA,1992
PH-94D15F02,Ruggero,Trupiano,1996-08-04,M,Reggio Emilia,RE,2014
PH-3A103595,Fortunata,Visconti,1977-05-15,F,Parma,PR,1997
PH-C2089724,Adriana,Carocci,1991-04-12,F,Taranto,TA,2016
PH-C67C2D96,Goffredo,Morpurgo,1960-12-25,M,Bologna,BO,1985
PH-BB9A90F3,Costanzo,Magrassi,1968-12-21,M,Roma,RM,1988
PH-76B4A710,Marcella,Cuda,1998-06-17,F,Milano,MI,2016
PH-D4CFF094,Rodolfo,Adinolfi,1970-12-05,M,Cagliari,CA,1991
PH-B3809B07,Virginia,Iannelli,1962-07-05,F,Roma,RM,1983
PH-12B26064,Temistocle,Emo,1989-03-05,M,Milano,MI,2007
PH-4A8443B7,Tonino,Canali,1980-10-12,M,Bari,BA,2006
PH-FEBE1125,Lazzaro,Tomaselli,1991-10-24,M,Firenze,FI,2019
PH-B9854878,Gaetano,Correr,1998-03-07,M,Roma,RM,2017
PH-5C7762A6,Licia,Cusano,1968-01-11,F,Bologna,BO,1986
PH-FA6A7B3E,Virgilio,Abate,1959-02-02,M,Milano,MI,1987
PH-86AFC898,Romana,Moccia,1996-10-26,F,Milano,MI,2022
PH-531D7BB1,Melina,Antonioni,1983-08-18,F,Parma,PR,2010
PH-42283B55,Camilla,Orsini,1995-04-15,F,Milano,MI,2018
PH-DE487C21,Gloria,Giradello,1993-09-18,F,Bologna,BO,2015
PH-D3A6EB81,Arturo,Giusti,1976-02-12,M,Roma,RM,1999
PH-7311268D,Bernardo,Briccialdi,1979-09-10,M,Torino,TO,2001
PH-C6F3D716,Sebastiano,Bompiani,1966-10-27,M,Padova,PD,1987
PH-683703CD,Nina,Cavanna,1992-06-15,F,Firenze,FI,2013
PH-87BC057B,Caterina,Siffredi,1964-07-15,F,Verona,VR,1991
PH-92AA6081,Paloma,Deledda,1963-01-06,F,Napoli,NA,1989
PH-52F6F889,Gelsomina,Tron,2000-12-18,F,Taranto,TA,2018
PH-B1F7186B,Piersanti,Franscini,1983-07-27,M,Brescia,BS,2002
PH-DCAD2353,Galasso,Mazzacurati,1963-05-17,M,Lecce,LE,1990
PH-1B6526A3,Lolita,Palombi,2000-02-08,F,Parma,PR,2023
PH-62E4A164,Margherita,Trapanese,1980-03-05,F,Milano,MI,2005
PH-99B0AB22,Maria,Casini,1978-09-15,F,Genova,GE,2001
PH-49DCCF66,Flora,Gasperi,1980-03-17,F,Parma,PR,2003
PH-27B544E9,Antonella,Moretti,1993-09-03,F,Milano,MI,2012
PH-D116DC86,Alina,Visintini,2000-03-19,F,Bologna,BO,2022
PH-D629E0D1,Gianmarco,Galuppi,1995-08-08,M,Salerno,SA,2021
PH-55DDE625,Adriano,Bondumier,1970-12-05,M,Napoli,NA,1989
PH-E3FE149D,Veronica,Biagiotti,1991-02-21,F,Bologna,BO,2013
PH-5A663C85,Federica,Boito,1972-08-14,F,Ravenna,RA,1999
PH-1CFF040B,Amedeo,Montalcini,1955-11-27,M,Monza,MB,1981
PH-B774CBAC,Benedetto,Tosi,1998-02-04,M,Perugia,PG,2021
PH-17204941,Fiamma,Ligorio,1981-02-13,F,Padova,PD,1999
PH-6A027F54,Susanna,Spanevello,2002-04-13,F,Napoli,NA,2021
PH-68E02777,Giampaolo,Vattimo,1991-07-04,M,Trieste,TS,2018
PH-F97FFBAC,Cecilia,Serraglio,1988-10-24,F,Messina,ME,2009
PH-F595A302,Gioachino,Serraglio,1956-02-19,M,Monza,MB,1981
PH-6DB57ADF,Pier,Favata,1997-03-07,M,Salerno,SA,2015
PH-8B57C30B,Cesare,Cagnin,1994-01-26,M,Reggio Emilia,RE,2014
PH-ABC035AD,Stefani,Ricciardi,1955-02-02,F,Milano,MI,1973
PH-C653A202,Lara,Randazzo,2002-04-24,F,Parma,PR,2020
PH-4F343F9C,Piergiorgio,Schiavone,2002-02-22,M,Parma,PR,2023
PH-26DBD4D0,Vittoria,Bernini,1976-06-06,F,Perugia,PG,1994
PH-2B42D6BA,Cirillo,Bignardi,1981-07-18,M,Firenze,FI,2007
PH-03486869,Loredana,Morlacchi,1994-01-06,F,Roma,RM,2020
PH-FB5521B4,Corrado,Grasso,1980-09-18,M,Brescia,BS,2009
PH-57082BA5,Fredo,Favata,1955-03-25,M,Catania,CT,1973
PH-313E1778,Ninetta,Sagredo,1973-10-06,F,Roma,RM,1992
PH-353DF6F2,Claudia,Querini,1981-04-18,F,Bologna,BO,2008
PH-D993F4E2,Elena,Ligorio,1967-07-09,F,Roma,RM,1996
PH-5012475B,Marisa,Greco,1967-06-27,F,Padova,PD,1992
PH-2ABDCC03,Benvenuto,Ruberto,1988-11-14,M,Palermo,PA,2010
PH-CEE5C54D,Cirillo,Benussi,2001-02-09,M,Milano,MI,2020
PH-991BEFC2,Alberto,Cabrini,1974-12-12,M,Bari,BA,1999
PH-EEDA1F9C,Gilberto,Dellucci,2001-08-09,M,Roma,RM,2021
PH-BD1E7FCF,Pier,Spanevello,1978-02-07,M,Bologna,BO,2001
PH-CA499410,Maura,Fuseli,1983-07-19,F,Genova,GE,2009
PH-31E1F958,Lolita,Biagiotti,1967-05-16,F,Napoli,NA,1994
PH-660442B0,Ezio,Parini,1980-12-15,M,Catania,CT,2002
PH-EFE0261C,Adelasia,Pennetta,1961-11-15,F,Messina,ME,1990
PH-BD119156,Giustino,Santorio,1967-07-24,M,Parma,PR,1988
PH-55800FBA,Ivan,Ramazzotti,1957-11-24,M,Milano,MI,1975
PH-E94D5C3A,Sergius,Costanzi,1982-06-05,M,Napoli,NA,2004
PH-BEF101E1,Franco,Malenchini,1999-06-24,M,Bergamo,BG,2017
PH-4B658A46,Evangelista,Biagi,1989-03-17,F,Torino,TO,2008
PH-961DAF17,Augusto,Mazzini,1979-01-28,M,Torino,TO,2008
PH-F90198F7,Annetta,Benigni,1992-02-20,F,Napoli,NA,2018
PH-5E103FDA,Sandro,Tedesco,1971-09-06,M,Catania,CT,1989
PH-ECDFB314,Virgilio,Cristoforetti,1989-06-24,M,Roma,RM,2008
PH-F6B4258A,Annetta,Tomasetti,1964-10-28,F,Genova,GE,1992
PH-0180BC22,Biagio,Fantoni,1996-04-03,M,Bologna,BO,2017
PH-13AEF2E9,Antonia,Boldù,1978-12-05,F,Bologna,BO,2001
PH-A71CB580,Gianpietro,Pininfarina,2001-08-07,M,Salerno,SA,2019
PH-F455D8F8,Dante,Gozzi,2003-09-14,M,Firenze,FI,2022
PH-8B395D34,Annibale,Bragadin,1996-11-18,M,Roma,RM,2022
PH-1FE4A6A9,Lucrezia,Zetticci,1993-08-02,F,Verona,VR,2020
PH-FEBA4817,Valerio,Mercadante,1998-12-24,M,Palermo,PA,2018
PH-D7BF949E,Giulio,Fittipaldi,1988-05-15,M,Modena,MO,2016
PH-4FD6176C,Susanna,Mazzocchi,1960-05-10,F,Bari,BA,1988
PH-22942F77,Gino,Impastato,1980-01-12,M,Palermo,PA,1999
PH-D0420E0B,Livia,Chechi,1974-01-10,F,Catania,CT,1994
PH-2EA8C97C,Leonardo,Saragat,1984-09-13,M,Milano,MI,2013
PH-80F40B69,Luchino,Bonolis,1982-05-08,M,Bari,BA,2000
PH-608D72ED,Adriana,Satta,1989-10-18,F,Catania,CT,2018
PH-EDF30D4E,Ciro,Borghese,1986-07-21,M,Modena,MO,2014
PH-F9E24418,Ninetta,Fusani,1977-01-04,F,Reggio Emilia,RE,2005
PH-32C28D47,Milena,Impastato,1986-12-19,F,Bologna,BO,2010
PH-9852DA88,Cecilia,Navone,1962-10-21,F,Monza,MB,1983
PH-A7DB767F,Antonia,Gottardi,1955-04-02,F,Napoli,NA,1974
PH-71F1C5A0,Liana,Lucarelli,1997-11-14,F,Firenze,FI,2023
PH-929CBD47,Diana,Roncalli,1958-08-03,F,Torino,TO,1985
PH-B4476C7D,Ornella,Marazzi,1968-06-24,F,Parma,PR,1997
PH-5F791EB2,Vincenzo,Alfonsi,2001-05-04,M,Torino,TO,2019
PH-873D298B,Stella,Vismara,1987-01-25,F,Brescia,BS,2014
PH-B7A16D21,Giulietta,Cammarata,1973-11-07,F,Parma,PR,1991
PH-2F93EB55,Chiara,Iannucci,1976-12-15,F,Taranto,TA,1994
PH-B3919352,Carla,Canevascini,1992-09-26,F,Milano,MI,2014
PH-550BBA15,Paola,Cremonesi,1975-07-10,F,Roma,RM,2003
PH-ED14030F,Germana,Lombardo,1989-06-12,F,Napoli,NA,2014
PH-905A23D1,Giacobbe,Mozart,1997-09-03,M,Messina,ME,2016
PH-8375A679,Gastone,Iannotti,1975-07-28,M,Brescia,BS,2002
PH-D8586966,Toni,Staglieno,1981-02-17,M,Torino,TO,2000
PH-8981BFF9,Fortunata,Berengario,1991-01-11,F,Padova,PD,2016
PH-AE9B06EB,Beatrice,Randazzo,1971-02-11,F,Firenze,FI,1990
PH-0A8F25F5,Guido,Battisti,1982-04-13,M,Roma,RM,2000
PH-006AA250,Adelasia,Montesano,1977-11-27,F,Napoli,NA,2000
PH-1F060D9E,Cecilia,Iacobucci,2003-05-26,F,Palermo,PA,2021
PH-D440C41D,Ernesto,Rossini,1998-04-15,M,Napoli,NA,2023
PH-60974F90,Paola,Renier,1985-01-09,F,Bari,BA,2010
PH-AD7002D4,Agnolo,Cardano,1963-05-25,M,Napoli,NA,1982
PH-0EED170A,Benvenuto,Contarini,1967-08-22,M,Genova,GE,1994
PH-2295EB75,Amleto,Pacomio,2001-08-19,M,Firenze,FI,2023
PH-CC29656F,Ramona,Viola,1968-06-06,F,Salerno,SA,1995
PH-0EB0B844,Concetta,Riccati,1975-04-27,F,Milano,MI,2000
PH-6B7720DA,Dionigi,Bassi,1961-12-27,M,Bologna,BO,1979
PH-50CA3791,Livio,Oscuro,1957-07-02,M,Milano,MI,1977
PH-F1D6F257,Annibale,Nugnes,1993-01-02,M,Palermo,PA,2014
PH-74ED1079,Giacobbe,Greco,1993-11-20,M,Torino,TO,2011
PH-75ADE7BD,Claudio,Nitto,1979-03-12,M,Napoli,NA,2001
PH-217BF1BA,Pier,Costalonga,1975-02-01,M,Milano,MI,2003
PH-9E8447B5,Gilberto,Cutuli,1956-05-13,M,Firenze,FI,1977
PH-0601A7B9,Eleanora,Pometta,1980-03-10,F,Perugia,PG,2001
PH-78BFA4B0,Alfio,Errani,1997-05-07,M,Firenze,FI,2021
PH-18A1625C,Mariano,Polizzi,1978-06-13,M,Trieste,TS,1996
PH-D1CCA316,Susanna,Grassi,1984-04-04,F,Roma,RM,2002
PH-4E2BD5D9,Gemma,Cuomo,2000-10-01,F,Milano,MI,2019
PH-F978E25A,Corrado,Pasolini,1978-02-16,M,Catania,CT,1998
PH-B819A8C1,Angelica,Segrè,1979-04-24,F,Perugia,PG,1997
PH-A8B4A116,Fabia,Filippelli,1998-12-24,F,Roma,RM,2022
PH-DA1FAC90,Romeo,Nibali,1982-12-17,M,Trieste,TS,2005
PH-468ACADD,Gloria,Gentilini,1990-02-09,F,Torino,TO,2017
PH-410E99DE,Fabrizia,Ariosto,1969-07-12,F,Bari,BA,1989
PH-482D77EF,Fredo,Piacentini,1997-09-10,M,Milano,MI,2015
PH-0122657D,Marcello,Ligorio,1987-11-20,M,Roma,RM,2013
PH-FF332C60,Antonia,Liguori,1961-02-17,F,Napoli,NA,1989
PH-8AE9E18D,Maurizio,Tommaseo,1987-01-05,M,Roma,RM,2013
PH-1AE61598,Pasqual,Valguarnera,1967-12-01,M,Monza,MB,1985
PH-1D0D03E4,Imelda,Babato,1974-07-26,F,Bari,BA,1993
PH-F12B53BE,Carla,Gulotta,1963-03-08,F,Palermo,PA,1988
PH-7B1739A2,Ferdinando,Impastato,1961-05-19,M,Bari,BA,1982
PH-2F619EB1,Angelica,Canova,1957-02-07,F,Milano,MI,1982
PH-A7A5E19D,Roberta,Rizzo,1985-03-16,F,Roma,RM,2010
PH-B1BD84CE,Matteo,Mazzini,1981-10-16,M,Padova,PD,2007
PH-791325D5,Marcella,Tornatore,1962-12-15,F,Monza,MB,1985
PH-76C0911A,Daniele,Pavanello,1972-06-12,M,Parma,PR,1996
PH-B77CFAF7,Franco,Gualandi,1987-02-20,M,Messina,ME,2009
PH-FC580625,Antonello,Roero,1968-09-06,M,Pescara,PE,1988
PH-C1F524AB,Adelasia,Travia,1966-05-14,F,Trieste,TS,1986
PH-D40E149D,Ninetta,Ferrucci,1986-05-15,F,Messina,ME,2008
PH-BFE48327,Letizia,Ricolfi,1981-12-16,F,Brescia,BS,2008
PH-F60C5F3F,Bartolomeo,Montalcini,1989-11-23,M,Salerno,SA,2017
PH-B7F2EBF0,Luca,Cattaneo,1976-06-01,M,Roma,RM,2002
PH-73121D42,Virginia,Mantegna,1994-12-25,F,Torino,TO,2020
PH-C5E04C51,Tonino,Maspero,1972-07-17,M,Napoli,NA,1997
PH-3543CD7F,Pierangelo,Mogherini,1983-07-14,M,Bari,BA,2012
PH-B91B1880,Patrizio,Malaparte,1972-10-04,M,Torino,TO,1994
PH-3CB984BD,Dionigi,Fermi,1957-01-27,M,Padova,PD,1979
PH-13E3F8DE,Pierpaolo,Parini,1978-08-25,M,Milano,MI,2005
PH-58D2311A,Federico,Manunta,2002-06-15,M,Roma,RM,2020
PH-486420AD,Pellegrino,Vespa,1961-01-14,M,Roma,RM,1979
PH-F7DA80E4,Adelasia,Marenzio,1988-11-04,F,Verona,VR,2011
PH-0DA2646A,Ivan,Foà,1970-04-25,M,Napoli,NA,1997
PH-EB45034D,Luisa,Milanesi,1985-05-27,F,Monza,MB,2014
PH-C064A247,Rosario,Rossini,2001-03-16,M,Milano,MI,2020
PH-53046B09,Rembrandt,Fuseli,1991-05-16,M,Perugia,PG,2016
PH-C4904906,Tullio,Sforza,1977-02-24,M,Roma,RM,1996
PH-A999D20B,Donatella,Brenna,1991-11-11,F,Bergamo,BG,2012
PH-95EC1BEE,Ippazio,Totino,1956-01-06,M,Modena,MO,1983
PH-34CD035B,Stefania,Monti,1966-09-03,F,Milano,MI,1994
PH-CB8F6F81,Carmelo,Gibilisco,1985-08-12,M,Perugia,PG,2005
PH-F9606E97,Lodovico,Gasperi,1998-02-24,M,Roma,RM,2021
PH-E39B43CA,Emma,Comeriato,1981-09-07,F,Napoli,NA,2005
PH-1703A095,Alfio,Beffa,1956-01-25,M,Roma,RM,1985
PH-BBD66924,Flavia,Siffredi,1968-06-15,F,Palermo,PA,1991
PH-1937B4F5,Benito,Santoro,1972-05-04,M,Bologna,BO,1991
PH-CBB012C5,Luciana,Ferrari,1995-02-05,F,Firenze,FI,2023
PH-043A4B94,Vincenza,Pastine,1963-11-01,F,Roma,RM,1984
PH-8B257592,Simone,Piazzi,1955-11-18,M,Trieste,TS,1976
PH-E5D75CE6,Gioachino,Comisso,1980-08-06,M,Torino,TO,2004
PH-CB5613FF,Sophia,Ajello,1995-05-14,F,Cagliari,CA,2021
PH-1BC1EECF,Coriolano,Raurica,1988-07-02,M,Trieste,TS,2010
PH-CBFFDC46,Giancarlo,Durante,1987-01-22,M,Parma,PR,2012
PH-AB0461E7,Valentina,Trapani,1965-07-13,F,Roma,RM,1994
PH-9E1392C6,Marisa,Benigni,1982-04-08,F,Milano,MI,2011
PH-55C50288,Gionata,Cassarà,1994-06-05,M,Bologna,BO,2013
PH-366E7625,Mariana,Chiesa,1962-08-09,F,Torino,TO,1991
PH-D3C1C363,Marisa,Turchi,1969-08-17,F,Bologna,BO,1994
PH-E0A251BA,Luciano,Rubbia,1980-07-05,M,Lecce,LE,2002
PH-26D4F0B0,Rosalia,Tiepolo,1983-12-13,F,Perugia,PG,2001
PH-D395987A,Luigina,Vespa,1968-06-15,F,Bergamo,BG,1997
PH-85C7F728,Maria,Cundari,1972-09-11,F,Napoli,NA,2001
PH-8FF60149,Martina,Salgari,1998-02-21,F,Torino,TO,2020
PH-11E730E6,Giuliano,Gramsci,1971-03-19,M,Salerno,SA,1994
PH-75172A0C,Guido,Tremonti,1977-04-04,M,Torino,TO,2000
PH-06CEC3D7,Sebastiano,Giovine,1961-09-19,M,Verona,VR,1986
PH-617299F1,Guglielmo,Rosselli,1994-02-22,M,Napoli,NA,2014
PH-4A8BE052,Antonina,Lucciano,1999-03-04,F,Roma,RM,2021
PH-B6718598,Gianpietro,Lancisi,1968-04-19,M,Roma,RM,1989
PH-11DAAEA8,Iolanda,Mezzetta,2002-07-20,F,Roma,RM,2022
PH-2E270486,Olga,Bottigliero,1991-04-18,F,Bari,BA,2012
PH-3894DC8F,Edoardo,Contrafatto,1980-06-20,M,Sassari,SS,2002
PH-886D3802,Gianni,Pasqua,1989-12-18,M,Torino,TO,2017
PH-F7F334AD,Eraldo,Gabba,1996-04-10,M,Ravenna,RA,2022
PH-539379A7,Azeglio,Pozzecco,1976-10-10,M,Firenze,FI,2001
PH-CD2E42CD,Pier,Montalti,2001-04-24,M,Trieste,TS,2023
PH-BEBD2E74,Olga,Schiaparelli,2003-03-22,F,Bergamo,BG,2023
PH-24FB4481,Pierluigi,Blasi,1989-08-19,M,Bologna,BO,2009
PH-A069E235,Geronimo,Pugliese,1977-05-12,M,Roma,RM,2002
PH-87C474A1,Ottavio,Antonucci,1969-07-05,M,Cagliari,CA,1997
PH-583EC35E,Nino,Sinisi,1977-02-24,M,Napoli,NA,2004
PH-94E8818C,Adriano,Nievo,1984-02-11,M,Reggio Emilia,RE,2003
PH-4688E60D,Giulietta,Pellico,2001-01-12,F,Roma,RM,2019
PH-9468EC66,Lucrezia,Varano,1969-08-02,F,Ravenna,RA,1998
PH-FC10DD91,Giancarlo,Sraffa,1967-06-25,M,Reggio Emilia,RE,1988
PH-EA14A575,Fabia,Lattuada,1989-07-05,F,Milano,MI,2016
PH-AAE98DFB,Raffaello,Spanevello,1966-04-20,M,Genova,GE,1990
PH-167C12CA,Amalia,Pellegrini,1956-01-15,F,Monza,MB,1985
PH-942563CF,Martino,Pirandello,1960-04-09,M,Brescia,BS,1989
PH-94F380CC,Ezio,Schicchi,1965-05-19,M,Bologna,BO,1983
PH-AF5966F6,Dionigi,Udinese,1988-11-23,M,Reggio Emilia,RE,2015
PH-5F53999B,Alfredo,Pertile,1966-09-23,M,Napoli,NA,1992
PH-7324BDD1,Alfredo,Brancaccio,1968-07-25,M,Salerno,SA,1987
PH-76EACAA6,Pomponio,Chittolini,1970-04-02,M,Roma,RM,1994
PH-B63CDE96,Romolo,Faggiani,1959-11-22,M,Milano,MI,1982
PH-19D32B2C,Armando,Guinizzelli,1991-05-05,M,Verona,VR,2018
PH-DC284F5D,Nino,Monaco,1968-07-16,M,Taranto,TA,1995
PH-85374382,Eva,Santorio,1975-07-21,F,Milano,MI,1997
PH-0F332AE0,Marcantonio,Moresi,1964-07-22,M,Bergamo,BG,1988
PH-6250F42D,Nino,Lettiere,1975-08-06,M,Torino,TO,1995
PH-C591E214,Lucrezia,Grifeo,1992-05-05,F,Milano,MI,2011
PH-EF121DA7,Biagio,Segrè,1957-09-28,M,Cagliari,CA,1979
PH-C520377A,Aldo,Vattimo,1963-12-12,M,Verona,VR,1986
PH-2B9B09CD,Annamaria,Nibali,2001-06-06,F,Sassari,SS,2023
PH-4433BC84,Gianfranco,Bombieri,2001-04-21,M,Verona,VR,2020
PH-8587115B,Sonia,Bartoli,1973-05-20,F,Genova,GE,2000
PH-E99793CD,Amadeo,Gramsci,2000-05-14,M,Milano,MI,2021
PH-C3326410,Galasso,Aporti,1967-02-24,M,Bologna,BO,1994
PH-59445875,Rossana,Corradi,1991-02-15,F,Torino,TO,2012
PH-DC6E0320,Gino,Ceci,1986-11-02,M,Genova,GE,2012
PH-D6002D14,Salvatore,Carocci,1984-10-19,M,Roma,RM,2012
PH-884ACD55,Gian,Scarpetta,1959-10-14,M,Messina,ME,1982
PH-359EB06C,Valeria,Guarato,1971-06-17,F,Milano,MI,1991
PH-0C75C0AC,Nanni,Detti,1956-11-03,M,Padova,PD,1976
PH-32875A50,Damiano,Dallapé,1980-01-04,M,Bologna,BO,2000
PH-27016C1C,Graziella,Cannizzaro,1971-03-02,F,Napoli,NA,1993
PH-941E1DC4,Alfredo,Mazzacurati,2000-06-06,M,Roma,RM,2021
PH-7E772AE2,Priscilla,Panicucci,1989-10-04,F,Trieste,TS,2008
PH-E075137D,Paride,Fieramosca,1974-03-24,M,Catania,CT,1993
PH-8968C70C,Antonina,Golino,1988-02-28,F,Cagliari,CA,2012
PH-D91D50C8,Claudio,Manzoni,1958-06-27,M,Torino,TO,1979
PH-F3797F31,Tina,Casini,2000-10-28,F,Parma,PR,2019
PH-3383AC69,Ansaldo,Napolitano,1969-12-11,M,Firenze,FI,1998
PH-EC6FFD66,Vito,Renzi,1978-08-09,M,Bari,BA,1997
PH-13D6C70B,Napoleone,Bompiani,1994-01-17,M,Milano,MI,2022
PH-B3A4017D,Tonino,Morrocco,1976-10-18,M,Torino,TO,1999
PH-842C3831,Alessandra,Pugliese,1990-10-10,F,Ravenna,RA,2012
PH-0A7FF302,Severino,Camuccini,1973-04-19,M,Genova,GE,1996
PH-ABA21506,Luisa,Orengo,2002-01-11,F,Napoli,NA,2021
PH-B799D5A8,Romeo,Correr,1979-12-11,M,Roma,RM,2005
PH-20B8EA2E,Raffaellino,Durante,1992-07-08,M,Genova,GE,2019
PH-CDF9AE0F,Zaira,Trentin,1963-02-19,F,Trieste,TS,1988
PH-90F46F0E,Greco,Varano,1996-02-26,M,Lecce,LE,2017
PH-938BBF86,Maura,Scarpetta,1985-12-20,F,Milano,MI,2003
PH-82A75E06,Marcella,Inzaghi,1971-02-24,F,Milano,MI,1997
PH-BA1C3EC5,Luigi,Govoni,1977-07-23,M,Firenze,FI,1995
PH-0B730994,Calogero,Liguori,2003-11-16,M,Messina,ME,2022
PH-13241E7C,Roberto,Gori,1976-02-14,M,Roma,RM,2003
PH-3DCF866E,Ronaldo,Parini,1958-10-24,M,Pescara,PE,1987
PH-566BE858,Martino,Bacosi,2002-07-11,M,Bari,BA,2023
PH-22F6BC87,Simone,Modiano,1979-03-16,M,Parma,PR,2002
PH-95E7F3DE,Elena,Squarcione,1999-12-11,F,Bari,BA,2019
PH-E8A82274,Giacomo,Nonis,1998-03-24,M,Milano,MI,2022
PH-B8EDFD43,Giuliano,Morricone,1990-01-01,M,Napoli,NA,2018
PH-09CA12FF,Hugo,Leopardi,1976-07-05,M,Bologna,BO,2002
PH-656E1581,Paoletta,Alonzi,1993-02-02,F,Torino,TO,2018
PH-D051BA65,Ugo,Federico,2000-06-04,M,Palermo,PA,2019
PH-3C9305EC,Calcedonio,Goldoni,1964-07-27,M,Napoli,NA,1983
PH-4A8BFE00,Pier,Staglieno,1975-03-03,M,Parma,PR,2004
PH-5863F727,Paoletta,Giunti,1998-05-13,F,Messina,ME,2021
PH-53F433DB,Salvi,Stradivari,1965-05-28,M,Milano,MI,1989
PH-D20D7964,Maria,Antonelli,1964-07-09,F,Milano,MI,1990
PH-F7ABB2DE,Beatrice,Majewski,1970-10-24,F,Milano,MI,1999
